Order_ID,Date,Region,Category,Product,Sales,Quantity,Discount,Profit
1,2025-01-01,South,Electronics,Headphones,1200,2,10,180
2,2025-01-02,North,Clothing,T-Shirt,800,4,5,120
3,2025-01-03,West,Home,Chair,3500,1,15,400
4,2025-01-04,East,Electronics,Smartphone,15000,1,5,1200
5,2025-01-05,South,Clothing,Jeans,2000,2,10,250
6,2025-01-06,North,Home,Table,4200,1,20,500
7,2025-01-07,West,Electronics,Laptop,55000,1,8,4000
8,2025-01-08,East,Clothing,Shirt,900,3,5,150
9,2025-01-09,South,Home,Blender,1800,2,12,220
10,2025-01-10,North,Electronics,Mouse,700,5,5,90
11,2025-01-11,West,Clothing,Jacket,3000,1,10,350
12,2025-01-12,East,Home,Sofa,25000,1,15,3000
13,2025-01-13,South,Electronics,Keyboard,1500,2,5,200
14,2025-01-14,North,Clothing,Saree,3500,1,12,450
15,2025-01-15,West,Home,Bed,18000,1,18,2000
16,2025-01-16,East,Electronics,Tablet,12000,1,10,1000
17,2025-01-17,South,Clothing,Shorts,1100,3,5,160
18,2025-01-18,North,Home,Lamp,900,4,8,120
19,2025-01-19,West,Electronics,Camera,45000,1,10,3500
20,2025-01-20,East,Clothing,Shoes,2500,2,15,300
21,2025-01-21,South,Home,Curtains,1300,2,5,180
22,2025-01-22,North,Electronics,Speaker,2200,1,10,300
23,2025-01-23,West,Clothing,Coat,5000,1,20,600
24,2025-01-24,East,Home,Fridge,30000,1,10,3500
25,2025-01-25,South,Electronics,Monitor,8000,1,12,900
26,2025-01-26,North,Clothing,Shirt,950,2,5,130
27,2025-01-27,West,Home,Mixer,2000,1,10,250
28,2025-01-28,East,Electronics,Smartwatch,7000,1,8,800
29,2025-01-29,South,Clothing,Skirt,1500,2,10,200
30,2025-01-30,North,Home,Chair,3200,1,15,380
31,2025-02-01,West,Electronics,Phone,18000,1,5,1500
32,2025-02-02,East,Clothing,Jeans,2100,2,10,260
33,2025-02-03,South,Home,Sofa,27000,1,18,3200
34,2025-02-04,North,Electronics,Headphones,1300,2,5,180
35,2025-02-05,West,Clothing,T-Shirt,850,3,5,110
36,2025-02-06,East,Home,Table,4000,1,20,480
37,2025-02-07,South,Electronics,Laptop,60000,1,10,4500
38,2025-02-08,North,Clothing,Saree,3800,1,12,460
39,2025-02-09,West,Home,Bed,19000,1,15,2100
40,2025-02-10,East,Electronics,Tablet,11000,1,8,900
41,2025-02-11,South,Clothing,Shorts,1200,3,5,170
42,2025-02-12,North,Home,Lamp,1000,4,10,140
43,2025-02-13,West,Electronics,Camera,47000,1,10,3600
44,2025-02-14,East,Clothing,Shoes,2600,2,15,320
45,2025-02-15,South,Home,Fridge,31000,1,10,3600
46,2025-02-16,North,Electronics,Mouse,750,5,5,95
47,2025-02-17,West,Clothing,Jacket,3200,1,10,370
48,2025-02-18,East,Home,Mixer,2100,1,10,260
49,2025-02-19,South,Electronics,Monitor,8200,1,12,920
50,2025-02-20,North,Clothing,Shirt,980,2,5,135
